name,address,city,state,postcode,country,description,url
BERRY RESERVE MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BERRY-RESERVE-MARKET
BONDI BEACH COMMUNITY MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BONDI-BEACH-COMMUNITY-MARKET
Italian Forum Twilight Market,,,,,Australia,,https://www.marketsandfairs.com.au/Market/Italian-Forum-Twilight-Market
Lugarno Lions Community Fair 21st September 2025 (Previously Spring Festival),,,,,Australia,,https://www.marketsandfairs.com.au/Market/Lugarno-Lions-Community-Fair-21st-September-2025-Previously-Spring-Festival
Penrith Trash and Treasure Market,,,,,Australia,,https://www.marketsandfairs.com.au/Market/Penrith-Trash-and-Treasure-Market
Sydney City Night Market,,,,,Australia,,https://www.marketsandfairs.com.au/Market/Sydney-City-Night-Market
The Concourse Artisan Market,,,,,Australia,,https://www.marketsandfairs.com.au/Market/The-Concourse-Artisan-Market
Wednesday Pickers Bazaar,,,,,Australia,,https://www.marketsandfairs.com.au/Market/Wednesday-Pickers-Bazaar-2
@The HUB Markets,,,,,Australia,,https://www.marketsandfairs.com.au/Market/The-HUB-Markets
ADAMSTOWN MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/ADAMSTOWN-MARKET
Arcadia Market,,,,,Australia,,https://www.marketsandfairs.com.au/Market/Arcadia-Market
ARMIDALE MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/ARMIDALE-MARKET
ART ON THE LEVEE - WAGGA,,,,,Australia,,https://www.marketsandfairs.com.au/Market/ART-ON-THE-LEVEE-WAGGA
ASHBY MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/ASHBY-MARKET
AVOCA BEACHSIDE MARKETS,,,,,Australia,,https://www.marketsandfairs.com.au/Market/AVOCA-BEACHSIDE-MARKETS
BALLINA MARKET - returning on 19th July 2020,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BALLINA-MARKET-returning-on-19th-July-2020
BALMAIN MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BALMAIN-MARKET
BANGALOW FARMERS MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BANGALOW-FARMERS-MARKET
BANGALOW VILLAGE MARKET,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BANGALOW-VILLAGE-MARKET
BANKSTOWN SUNDAY MARKETS & BARGAIN BAZAAR,,,,,Australia,,https://www.marketsandfairs.com.au/Market/BANKSTOWN-SUNDAY-MARKETS-BARGAIN-BAZAAR
