
Name,City,State,Description,Citation
Mindil Beach Sunset Markets,Darwin,NT,Large evening market with over 300 stalls held on Thursdays and Sundays on Mindil Beach.,https://northernterritory.com/us/en/articles/a-locals-guide-to-darwins-markets#:~:text=Mindil%20Beach%20Sunset%20Markets
Parap Village Markets,Darwin,NT,Saturday market in Parap featuring Asian flavours and local produce.,https://northernterritory.com/us/en/articles/a-locals-guide-to-darwins-markets#:~:text=Parap%20Village%20Markets
Malak Market Place,Darwin,NT,Saturday market promoting sustainability with multicultural food and community atmosphere.,https://northernterritory.com/us/en/articles/a-locals-guide-to-darwins-markets#:~:text=Parap%20Village%20Markets
Nightcliff Markets,Darwin,NT,"Sunday market focusing on arts, crafts, vintage items and food in the suburb of Nightcliff.",https://northernterritory.com/us/en/articles/a-locals-guide-to-darwins-markets#:~:text=Parap%20Village%20Markets
Rapid Creek Markets,Darwin,NT,Darwin’s oldest market offering exotic produce on weekends.,https://northernterritory.com/us/en/articles/a-locals-guide-to-darwins-markets#:~:text=Parap%20Village%20Markets
Capital Region Farmers Market,Canberra,ACT,Large farmers market at Exhibition Park running most Saturdays with fresh produce and goods.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=,Market
Southside Farmers Market,Canberra,ACT,Community‑focused Sunday farmers market in south Canberra.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Handmade Market,Canberra,ACT,Quarterly market showcasing over 260 handmade businesses offering crafts and artisan products.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Old Bus Depot Markets,Canberra,ACT,"Iconic Sunday market with arts, crafts, gourmet food and vintage wares at Kingston foreshore.",https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Haig Park Village Markets,Canberra,ACT,Weekly Sunday village market that is dog‑friendly with artisan food and produce.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=Location%3A%20Haig%20Park%2C%20Braddon
Hartley Hall Markets,Hall,ACT,Monthly rural‑themed market featuring stallholders from the district selling crafts and produce.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Little Burley Market,Canberra,ACT,"Saturday market on the shores of Lake Burley Griffin offering food, music and art.",https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Fyshwick Fresh Food Markets,Canberra,ACT,"Indoor market operating Thursday to Sunday with fresh produce, seafood and specialty stores.",https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Capital Food Market,Canberra,ACT,"New food market precinct open daily with a range of retailers, fresh produce and dining options.",https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
The Forage,Canberra,ACT,Quarterly food event celebrating Canberra’s local street food scene with live entertainment.,https://www.act.gov.au/our-canberra/latest-news/2025/april/the-ultimate-canberra-markets-guide#:~:text=
Brisbane City Markets,Brisbane,QLD,"City centre weekday market (Tues–Thur) featuring farmers, artisan producers and street food.",https://visit.brisbane.qld.au/inspiration/brisbane-best-farmers-markets#:~:text=Weekdays
Carseldine Farmers & Artisan Markets,Carseldine,QLD,"Saturday market north of Brisbane offering gourmet food, produce and artisan stalls.",https://visit.brisbane.qld.au/inspiration/brisbane-best-farmers-markets#:~:text=Carseldine%20Farmers%20%26%20Artisan%20Markets
Jan Powers Farmers Markets – Powerhouse,New Farm (Brisbane),QLD,Saturday morning market at Powerhouse Plaza with over 120 stalls of fresh food and produce.,https://visit.brisbane.qld.au/inspiration/brisbane-best-farmers-markets#:~:text=Jan%20Powers%20Farmers%20Markets%20%E2%80%93,Brisbane%20Powerhouse
Jan Powers Farmers Markets – Manly,Manly (Brisbane),QLD,First and third Saturday market on the waterfront at Manly Harbour Village offering farm‑fresh produce.,https://visit.brisbane.qld.au/inspiration/brisbane-best-farmers-markets#:~:text=Jan%20Powers%20Farmers%20Markets%20%E2%80%93,Manly
Saturday Fresh Market,Rocklea (Brisbane),QLD,Brisbane’s largest fresh food market with more than 150 stalls operating on Saturdays.,https://visit.brisbane.qld.au/inspiration/brisbane-best-farmers-markets#:~:text=Saturday%20Fresh%20Market%2C%20Rocklea
